2017-09-27 23:35	90.85	33.37	39.48	18.01	0.24
2017-09-27 23:40	90.95	34.04	38.71	18.20	0.24
2017-09-27 23:45	91.04	33.90	39.14	18.01	0.24
2017-09-27 23:49	90.85	33.32	39.72	17.81	0.24
2017-09-27 23:54	91.19	33.51	39.58	18.10	0.24
2017-09-27 23:59	90.85	33.80	39.00	18.05	0.24
2017-09-28 00:04	90.85	34.18	39.67	17.00	0.24
2017-09-28 00:09	91.09	33.22	40.15	17.72	0.24
2017-09-28 00:13	91.57	33.37	39.82	18.39	0.24
2017-09-28 00:18	91.38	33.94	39.48	17.96	0.24
2017-09-28 00:23	91.43	32.93	40.25	18.25	0.19
2017-09-28 00:28	91.48	33.70	40.01	17.77	0.19
2017-09-28 00:33	91.38	33.65	39.77	17.96	0.19
2017-09-28 00:37	91.14	33.80	39.53	17.81	0.19
2017-09-28 00:42	90.95	34.33	39.34	17.28	0.19
2017-09-28 00:47	91.04	34.42	39.38	17.24	0.19
2017-09-28 00:52	91.29	34.09	39.38	17.81	0.24
2017-09-28 00:57	91.53	34.52	40.01	17.00	0.19
2017-09-28 01:01	91.43	34.28	39.72	17.43	0.19
2017-09-28 01:06	91.33	34.91	39.72	16.71	0.19
2017-09-28 01:11	91.24	34.62	39.91	16.71	0.19
2017-09-28 01:16	91.14	34.62	39.96	16.56	0.19
2017-09-28 01:21	91.38	35.10	39.19	17.09	0.19
2017-09-28 01:25	91.04	34.91	39.72	16.42	0.19
2017-09-28 01:30	90.95	34.71	39.53	16.71	0.19
2017-09-28 01:35	90.85	34.33	39.82	16.71	0.19
2017-09-28 01:40	90.56	35.24	38.95	16.37	0.19
2017-09-28 01:44	90.13	34.09	39.29	16.75	0.19
2017-09-28 01:49	90.27	36.16	36.98	17.14	0.19
2017-09-28 01:54	90.52	34.57	38.85	17.09	0.19
2017-09-28 01:59	90.08	36.11	37.02	16.95	0.19
2017-09-28 02:04	90.32	35.58	37.70	17.04	0.19
2017-09-28 02:08	90.32	35.24	37.70	17.38	0.19
2017-09-28 02:13	90.47	34.09	38.76	17.62	0.19
2017-09-28 02:18	90.52	35.19	37.84	17.48	0.19
2017-09-28 02:23	90.47	34.18	38.95	17.33	0.19
2017-09-28 02:28	90.47	35.05	37.55	17.86	0.19
2017-09-28 02:32	89.99	35.00	37.65	17.33	0.19
2017-09-28 02:37	90.03	34.81	37.94	17.28	0.19
2017-09-28 02:42	90.03	35.00	36.74	18.30	0.19
2017-09-28 02:47	90.42	34.18	38.18	18.05	0.19
2017-09-28 02:52	90.13	35.15	37.31	17.67	0.24
2017-09-28 02:56	89.99	34.67	37.65	17.67	0.19
